country_code,state_province,city,latitude,longitude,maturity_segment,fast_station_share,median_power_kw,has_fast_dc,has_ultra_dc,dc_fast_station_count,dc_ultra_station_count,station_count,port_count
EE,Võru maakond,Misso vald,57.64112,27.370423,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Võru maakond,Rõuge,57.729924,26.918317,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Võru maakond,Varstu,57.644151,26.660417,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Võru maakond,Võru,57.858225,26.975987,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Võru maakond,Võru maakond,57.830129,26.532796,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Võru maakond,Võru vald,57.809002,26.997553,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
ES,A Coruña,Ames,42.846672,-8.644576,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,2
ES,A Coruña,O Pino,42.984715,-8.292007,Developing EV Infrastructure,1.0,100.0,1,0,1,0,1,2
ES,A Coruña,Oleiros,43.3291315,-8.3661745,Developing EV Infrastructure,0.5,171.0,1,1,1,1,2,5
ES,A Coruña,Ribeira,42.569923,-8.967476,Developing EV Infrastructure,1.0,100.0,1,0,1,0,1,2
ES,A Coruña,Rois,42.86444,-8.629311,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,3
ES,A Coruña,Santiago de Compostela,42.884182,-8.513223,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,6
ES,A Coruña,Sigüeiro,42.964155,-8.450153,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,2
ES,A Coruña,Vedra,42.7760355,-8.455618,Emerging EV Infrastructure,0.0,22.2,0,0,0,0,2,4
ES,Alacant,Alcoi,38.698013,-0.480614,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,2
ES,Alacant / Alicante,Alacant / Alicante,38.710573,-0.462676,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,2
ES,Alava,Vitoria-Gasteiz,42.841,-2.6666,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,7
ES,Albacete,11,39.007727,-1.883471,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,1
ES,Albacete,Albacete,39.001111,-1.86179,Developing EV Infrastructure,0.8,50.0,1,1,4,1,5,13
ES,Alcalá de Henares,Alcalá de Henares,40.506782,-3.342034,Emerging EV Infrastructure,0.0,3.7,0,0,0,0,1,3
ES,Alcantára,sn,39.720461,-6.879159,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,2
ES,Alcobendas,22,40.534219,-3.621385,Emerging EV Infrastructure,0.0,7.4,0,0,0,0,1,4
ES,Alcorcon,Unknown City,40.332759,-3.854315,Mature Fast-Charging Hub,1.0,150.0,1,1,1,1,1,2
